t,x,y,z,vx,vy,vz,speed,target_error,target_age_s,obstacle_clearance,goal_distance
24.9,-790.1696245908364,-23.64024964068439,19.417410366791106,51.75082127404347,-2.513583049423724,10.56154098057856,52.877327373542435,,,,
24.95,-793.7657837924972,-23.778514158190948,19.50177221854639,51.868446362927266,-2.5193342858684917,10.585565483355587,52.99751852634446,,,,
25.0,-795.5669251901276,-23.84776316680502,19.544025435828413,51.9272589073681,-2.522209904097786,10.597577734747972,53.057614102758095,,,,
25.05,-799.1753315789883,-23.98649468375475,19.628676453201244,52.04488399625015,-2.527961140572616,10.6216022375278,53.1778052556105,,,,
25.1,-800.9825965702188,-24.05597719209041,19.671074253292044,52.10369654069116,-2.5308367588188005,10.633614488915573,53.237900832049114,,,,
25.15,-802.7919027593158,-24.125537533666595,19.71352024765244,52.1625090851317,-2.5337123770711187,10.645626740303541,53.29799640849585,,,,
25.2,-806.4166387311101,-24.264891716540557,19.798556819182,52.28013417401048,-2.5394636135951574,10.669651243086793,53.41818756141409,,,,
25.25,-808.2320685138072,-24.334685557838323,19.84114739635117,52.33894671844987,-2.5423392318672935,10.68166349447646,53.47828313788558,,,,
25.3,-811.8690516728014,-24.474506740155455,19.92647313349828,52.45657180732829,-2.5480904684321577,10.705687997252127,53.59847429085283,,,,
25.35,-813.6906050490986,-24.54453408117481,19.969208293476225,52.51538435176617,-2.550966086724938,10.717700248643128,53.65856986734843,,,,
25.4,-817.3398353952931,-24.68482226293511,20.05482319624089,52.6330094406414,-2.556717323331247,10.741724751424968,53.77876102036421,,,,
25.45,-819.1675123651903,-24.755083103676057,20.097702939027606,52.691821985079,-2.559592941644652,10.753737002813486,53.83885659688411,,,,
25.5,-822.828989898585,-24.895838284879527,20.18360700740982,52.809447073952875,-2.565344178291402,10.777761505591023,53.95904774994758,,,,
25.55,-824.6627904620823,-24.966332625342055,20.22663133300531,52.86825961838877,-2.5682197966243376,10.789773756983141,54.01914332649132,,,,
25.6,-828.3365151826769,-25.1075548059887,20.312824567005073,52.98588470726077,-2.573971033308673,10.813798259762368,54.13933447960256,,,,
25.65,-830.1764393397742,-25.17828264617281,20.355993475409342,53.04469725169674,-2.5768466516596025,10.825810511149884,54.19943005616992,,,,
25.7,-833.862411247569,-25.319971826262623,20.442475875026652,53.16232234056634,-2.582597888377428,10.84983501393129,54.319621209327856,,,,
25.75,-835.7084589982663,-25.390933166168324,20.485789366239693,53.22113488500088,-2.5854735067439094,10.861847265322265,54.37971678591863,,,,
25.8,-839.4066780932612,-25.533089345701306,20.572560931474555,53.33875997387024,-2.5912247434905673,10.885871768099452,54.49990793912339,,,,
25.85,-841.2588494375586,-25.604284185328595,20.61601900549637,53.39757251830469,-2.5941003618700345,10.897884019487083,54.560003515737186,,,,
25.9,-844.9693157197536,-25.74690736430475,20.703079736348784,53.515197607171515,-2.599851598639675,10.92190852227035,54.68019466898784,,,,
25.95,-846.8276106576511,-25.81833570365362,20.746682393179373,53.57401015160514,-2.602727217029304,10.933920773660219,54.74029024562469,,,,
26.0,-848.6879467934153,-25.88984187624302,20.790333244279562,53.63282269603897,-2.6056028354216787,10.945933025048578,54.80038582226917,,,,
26.05,-852.4147426585438,-26.033087721143403,20.877779529288702,53.75044778490576,-2.6113540722132513,10.969957527826203,54.92057697558044,,,,
26.1,-854.281202387908,-26.104827393454386,20.921574963197667,53.80926032933845,-2.614229690611834,10.981969779218442,54.98067255224749,,,,
26.15,-858.0202454402366,-26.248540237797943,21.009310413824355,53.92688541820473,-2.6199809274131685,11.005994281997694,55.100863705604084,,,,
26.2,-859.8928287632009,-26.32051340983051,21.053250430542093,53.98569796263824,-2.6228565458153383,11.018006533385176,55.160959282293554,,,,
26.25,-863.6441190027296,-26.464693253617238,21.14127504678633,54.103323051503644,-2.6286077826210574,11.042031036166199,55.281150435694435,,,,
26.3,-865.5228259192938,-26.536899925371394,21.185359646312843,54.16213559593639,-2.631483401024118,11.054043287557256,55.34124601240611,,,,
26.35,-869.2863633460225,-26.68154676860129,21.273673428174632,54.279760684802866,-2.6372346378295353,11.078067790334515,55.46143716585143,,,,
26.4,-871.171193856187,-26.753986940077034,21.317902610509922,54.33857322923624,-2.6401102562313747,11.090080041722162,55.52153274258494,,,,
26.45,-875.0025656325407,-26.901237132726088,21.407809980834806,54.45792809882019,-2.645946070043896,11.114457846016846,55.64349141303712,,,,
26.5,-876.8935797715366,-26.973913093136368,21.452185163457386,54.51674064325343,-2.6488216884425277,11.126470097406534,55.703586989792726,,,,
26.55,-880.6817316431283,-27.119498513678522,21.54108011151131,54.63436573212076,-2.6545729252354633,11.150494600182174,55.82377814332542,,,,
26.6,-882.5788693757241,-27.19240797381039,21.585599876942663,54.693178276553695,-2.6574485436294055,11.162506851573402,55.88387372010235,,,,
26.65,-886.379268434516,-27.338460393795714,21.674783990614138,54.810803365420355,-2.6631997804117784,11.186531354355296,56.00406487367801,,,,
26.7,-888.2825297607119,-27.41160335364917,21.719448338854264,54.869615909854346,-2.666075398800049,11.198543605743748,56.06416045047649,,,,
26.75,-892.0951760067038,-27.558122773077663,21.80892161814329,54.98724099872225,-2.671826635570265,11.222568108521141,56.18435160409435,,,,
26.8,-894.0045609264998,-27.631499232652704,21.853730549192193,55.04605354315575,-2.674702253952059,11.234580359913377,56.24444718091394,,,,
26.85,-895.9159870441624,-27.70495352546827,21.898587674510686,55.10486608758974,-2.6775778723316717,11.246592611303798,56.304542757740535,,,,
26.9,-899.7449628730878,-27.852095610820996,21.988446507956443,55.22249117645902,-2.683329109084243,11.27061711407998,56.42473391141465,,,,
26.95,-901.6625125843506,-27.92578340335815,22.033448216083713,55.2813037208934,-2.6862047274571066,11.282629365469091,56.484829488261894,,,,
27.0,-905.5037356004761,-28.073392488154045,22.123596215147018,55.39892880976176,-2.6919559641961346,11.30665386825258,56.605020641977454,,,,
27.05,-907.4274089053389,-28.147313780412784,22.168742506083063,55.45774135419668,-2.694831582562412,11.318666119641811,56.66511621884561,,,,
27.1,-911.2808791086646,-28.295389864651852,22.259179670763917,55.57536644306728,-2.7005828192887167,11.342690622417074,56.78530737260224,,,,
27.15,-913.2106760071274,-28.369544656632172,22.30447054450874,55.63417898750178,-2.7034584376487145,11.354702873808854,56.84540294949066,,,,
27.2,-917.0763933976531,-28.518087740314414,22.395196874807144,55.75180407637174,-2.7092096743631098,11.378727376590726,56.96559410328816,,,,
27.25,-919.012313889716,-28.59247603201632,22.44063233136074,55.81061662080739,-2.7120852927176062,11.390739627979126,57.02568968019704,,,,
27.3,-922.8902784674417,-28.741486115141733,22.531647827276693,55.928241709678616,-2.717836529421591,11.414764130756,57.14588083403463,,,,
27.35,-924.8323225531046,-28.81610790656523,22.577227866639063,55.987054254113616,-2.720712147771231,11.42677638214845,57.205976410963544,,,,
27.4,-928.7225343180306,-28.96558498913381,22.668532528172566,56.104679342985,-2.7264633844664106,11.450800884928015,57.326167564841384,,,,
27.45,-930.6707019972936,-29.040440280278887,22.714257150343713,56.16349188742125,-2.729339002812213,11.462813136315521,57.38626314179023,,,,
27.5,-934.5731609494196,-29.19038436229064,22.805850977494764,56.28111697629242,-2.735090239500418,11.486837639096244,57.50645429570736,,,,
27.55,-936.5274522222827,-29.265473153157306,22.851720182474686,56.339929520728084,-2.737965857843144,11.49884989048732,57.56654987267591,,,,
